#OTU ID	S1_17	S2_17	S3_17	S4_17	S5_17	S6_17	S7_17	S8_17	S9_17	S10_17	S11_17	S12_17	S13_17	S14_17	sum taxonomy
forward_16S_39	4	0	92	1	1	0	0	0	3	2	4	3	0	2	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_40	4	2	8	3	60	4	6	0	3	1	3	14	1	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_41	5	3	15	0	16	11	9	0	4	5	3	2	25	6	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;
forward_16S_42	6	0	6	0	0	0	0	81	6	0	1	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_43	8	0	0	1	0	0	71	8	11	0	1	0	1	0	Firmicutes;Bacilli;Bacillales;;;
forward_16S_44	16	2	16	7	4	0	5	0	1	2	5	2	39	1	Verrucomicrobia;Spartobacteria;;;;
forward_16S_45	27	1	13	17	18	1	6	0	0	0	11	2	2	1	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_46	1	20	3	11	0	0	47	2	2	1	1	0	2	4	Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia;
forward_16S_47	6	11	0	0	0	0	2	52	11	1	0	1	1	7	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_48	71	0	0	0	0	0	0	0	0	0	20	0	0	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_49	7	15	9	14	0	0	19	6	1	2	2	4	1	11	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter sp. I12A-02993
forward_16S_50	2	0	0	1	0	0	87	0	1	0	0	0	0	0	Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus;
forward_16S_51	0	0	0	0	0	89	0	0	0	0	0	0	0	0	;;;;;
forward_16S_52	4	0	5	29	1	0	25	1	3	2	6	5	3	3	Verrucomicrobia;Spartobacteria;;;;
forward_16S_53	11	1	31	3	0	0	11	0	7	0	6	2	13	1	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_54	8	0	59	0	0	0	1	0	6	2	5	0	4	1	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_55	5	10	6	25	0	0	28	3	3	0	0	3	0	3	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus sp. L1961
forward_16S_56	37	1	7	0	0	0	2	0	8	3	11	3	12	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;;
forward_16S_57	13	1	1	1	0	0	11	39	0	11	3	2	1	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_58	5	1	13	3	0	0	40	0	3	1	3	2	12	0	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. URHD0085
forward_16S_59	23	0	34	2	0	0	0	0	4	2	6	3	3	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_60	11	10	9	8	0	0	16	9	7	1	0	0	3	2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;
forward_16S_61	4	29	10	3	2	0	5	5	2	0	8	1	1	6	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Hydrogenophaga sp. WLSH-10
forward_16S_62	1	1	0	0	0	2	1	35	2	0	1	0	0	33	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
forward_16S_63	0	0	0	0	0	75	0	0	0	0	0	0	0	0	Proteobacteria;;;;;
forward_16S_64	7	2	1	25	2	1	22	1	1	2	2	0	0	8	Verrucomicrobia;Spartobacteria;;;;
forward_16S_65	1	0	4	8	0	0	61	0	0	0	0	0	0	0	Planctomycetes;Planctomycetia;Planctomycetales;;;
forward_16S_66	0	0	0	0	70	0	0	0	0	0	0	4	0	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;;
forward_16S_67	3	21	1	4	0	0	1	30	4	2	1	0	0	5	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_68	0	1	0	0	0	0	69	0	0	0	0	0	2	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_69	5	1	8	11	3	0	36	1	0	0	3	1	2	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_70	15	3	3	6	12	3	1	8	3	2	4	6	1	3	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;;
forward_16S_71	1	31	0	0	0	0	5	17	7	5	0	0	0	4	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_72	6	8	14	9	0	0	17	1	2	9	1	0	2	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;;
forward_16S_73	1	4	6	5	15	0	15	4	8	2	2	0	1	4	Proteobacteria;Alphaproteobacteria;Rhizobiales;;;
forward_16S_74	0	0	0	0	57	10	0	0	0	0	0	0	0	0	Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;
forward_16S_75	21	0	12	6	0	0	0	0	4	1	19	1	2	0	Proteobacteria;Alphaproteobacteria;;;;
forward_16S_76	6	20	11	6	0	0	2	9	4	7	0	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
forward_16S_77	3	4	4	9	0	0	35	0	3	2	3	1	1	1	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;;
forward_16S_78	3	0	52	0	2	0	1	0	3	1	1	3	0	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_79	2	3	1	1	0	0	3	7	0	46	0	0	0	3	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;
forward_16S_80	10	0	6	0	21	18	2	0	0	0	3	3	2	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_81	5	0	1	0	0	0	55	0	1	0	1	0	1	1	Planctomycetes;Planctomycetia;Planctomycetales;;;
forward_16S_82	0	5	0	3	0	0	38	12	5	1	0	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_83	20	1	3	25	0	0	1	2	0	0	9	2	1	0	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;Microvirga sp. HPCKc-4(6)
forward_16S_84	8	9	6	5	2	4	3	2	4	9	4	1	1	6	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;
forward_16S_85	3	22	3	11	0	0	7	12	0	1	0	0	1	4	Proteobacteria;Betaproteobacteria;NA;NA;NA;beta proteobacterium FSW05-146
forward_16S_86	1	14	10	3	1	4	3	0	6	8	2	0	2	10	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;
forward_16S_87	1	0	8	4	44	3	0	0	1	0	2	1	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_88	0	30	1	1	0	0	1	19	6	4	0	0	1	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_89	22	0	26	0	0	0	0	0	3	0	4	6	2	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_90	1	35	0	0	0	0	0	11	7	1	7	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_91	1	18	3	7	0	0	6	14	2	3	0	1	0	6	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter sp. 14d2-CH09
forward_16S_92	3	1	0	3	0	0	46	0	2	0	1	0	3	0	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
forward_16S_93	9	0	5	9	0	0	22	0	2	0	7	0	4	0	Planctomycetes;Planctomycetia;Planctomycetales;;;
forward_16S_94	5	1	1	0	10	0	9	0	2	0	1	1	28	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_95	6	3	7	10	0	0	26	2	1	0	0	0	0	2	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;;
forward_16S_96	1	0	10	0	0	0	33	0	0	0	2	2	8	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_97	0	16	0	0	0	0	1	13	5	2	0	0	0	19	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. LMR312
forward_16S_98	13	0	0	0	10	0	12	0	0	0	0	20	0	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;
forward_16S_99	0	2	2	8	0	0	35	3	0	0	0	0	0	5	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;Segetibacter aerophilus
forward_16S_100	10	2	8	8	1	0	17	1	0	1	1	1	3	0	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. URHD0085
forward_16S_101	5	2	4	16	0	0	17	1	2	2	1	0	0	3	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;
forward_16S_102	4	0	2	1	32	4	5	0	1	0	1	3	0	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_103	2	1	0	0	0	0	44	0	0	0	0	0	6	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_104	17	0	16	2	0	0	0	0	2	0	7	0	7	1	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_105	5	2	0	2	0	1	5	23	2	9	2	1	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_106	5	7	11	5	0	0	11	0	4	5	3	0	1	0	Proteobacteria;Betaproteobacteria;Burkholderiales;;;
forward_16S_107	4	7	20	0	0	0	1	0	11	7	0	0	0	2	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_108	0	0	0	0	52	0	0	0	0	0	0	0	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_109	0	0	0	0	38	0	10	0	0	0	0	4	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_110	8	0	1	1	2	0	9	0	1	0	1	3	24	1	Verrucomicrobia;Spartobacteria;;;;
forward_16S_111	0	15	0	0	0	0	1	27	0	0	0	0	0	8	Proteobacteria;Betaproteobacteria;;;;
forward_16S_112	0	0	3	2	29	0	5	0	1	0	0	10	1	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_113	9	1	16	2	0	0	10	0	5	1	0	0	5	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_114	7	0	31	0	0	0	3	0	2	1	2	0	3	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_115	2	2	0	0	1	0	2	14	0	5	0	0	0	23	Proteobacteria;Betaproteobacteria;;;;
forward_16S_116	1	7	0	0	0	0	1	28	8	1	1	0	0	2	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_117	0	0	0	0	2	0	0	0	0	46	1	0	0	0	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum
forward_16S_118	1	0	0	0	0	0	0	22	0	0	0	0	0	24	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
forward_16S_119	1	0	0	1	29	10	0	1	0	0	1	2	0	3	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;
forward_16S_120	2	19	0	0	0	1	5	9	7	1	0	0	1	2	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_121	0	0	0	0	0	1	0	34	0	0	0	1	0	11	Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea ramigera
forward_16S_122	11	0	23	0	0	0	0	0	1	2	4	4	1	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_123	3	1	5	1	0	0	29	0	2	0	0	0	2	3	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_124	2	6	6	5	0	0	8	3	5	4	4	0	0	3	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter sp. 14d2-CH09
forward_16S_125	0	8	0	2	0	0	1	17	1	13	0	0	0	4	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_126	0	0	0	0	46	0	0	0	0	0	0	0	0	0	;;;;;
forward_16S_127	13	4	0	3	0	0	0	4	12	4	0	0	0	4	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_128	2	1	0	0	0	1	0	16	2	0	0	0	2	19	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
forward_16S_129	2	0	38	0	0	0	0	0	1	1	0	0	2	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;;
forward_16S_130	1	0	0	0	0	0	1	27	15	0	0	0	0	0	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus badius
forward_16S_131	36	0	1	0	0	0	0	0	0	0	6	0	0	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_132	10	0	2	1	14	0	2	0	2	0	7	0	4	0	;;;;;
forward_16S_133	9	5	3	4	0	0	6	2	4	4	2	0	2	1	Proteobacteria;Betaproteobacteria;Burkholderiales;;;
forward_16S_134	6	0	4	9	1	0	3	5	6	2	2	0	2	2	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;Microvirga sp.
forward_16S_135	4	1	0	3	2	0	24	0	3	0	2	3	0	0	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
forward_16S_136	3	0	0	0	31	0	2	0	0	0	1	1	4	0	Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter;Candidatus Udaeobacter copiosus
forward_16S_137	2	1	4	0	25	4	1	0	0	1	0	4	0	0	Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrosocosmicus;
forward_16S_138	2	7	0	0	0	0	1	21	11	0	0	0	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_139	1	1	0	1	0	1	0	24	1	7	1	2	0	3	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_140	0	0	0	0	36	1	0	0	0	0	0	5	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_141	0	0	0	0	29	0	5	0	0	0	0	8	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_142	6	0	2	2	0	0	19	0	1	0	1	0	9	1	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. URHD0085
forward_16S_143	1	10	2	2	1	0	16	0	2	1	0	0	2	4	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
forward_16S_144	1	29	2	0	0	0	2	2	3	1	0	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_145	0	0	0	0	0	41	0	0	0	0	0	0	0	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_146	20	0	0	0	2	0	0	2	8	0	3	0	0	5	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
forward_16S_147	7	0	0	0	23	0	0	0	0	0	3	6	1	0	Acidobacteria;Blastocatellia;;;Stenotrophobacter;Stenotrophobacter terrae
forward_16S_148	4	1	7	1	13	0	0	0	2	2	3	3	3	1	Proteobacteria;Betaproteobacteria;Burkholderiales;;;
forward_16S_149	3	0	0	11	0	0	22	0	1	0	2	0	1	0	Planctomycetes;Planctomycetia;Planctomycetales;;;
forward_16S_150	2	2	1	0	0	0	0	9	0	1	0	0	0	24	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_151	1	14	1	2	0	0	6	10	1	4	0	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
forward_16S_152	0	0	0	9	0	0	30	1	0	0	0	0	0	0	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia sp. RM452
forward_16S_153	0	0	0	0	0	0	40	0	0	0	0	0	0	0	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus;
forward_16S_154	6	0	3	0	5	18	0	0	0	0	4	2	1	0	Proteobacteria;Gammaproteobacteria;NA;NA;NA;gamma proteobacterium enrichment culture clone CTBE CDB1001C10
forward_16S_155	6	6	0	1	0	0	0	13	3	7	0	0	0	3	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia timonae
forward_16S_156	5	0	8	7	0	0	15	0	0	0	2	1	1	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_157	5	2	2	15	0	0	3	0	1	1	1	1	0	8	Acidobacteria;Blastocatellia;;;;
forward_16S_158	3	0	3	0	16	0	10	0	0	0	1	1	5	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_159	3	0	0	0	35	0	0	0	0	0	1	0	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_160	1	0	2	0	5	24	1	0	0	0	2	1	2	1	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;
forward_16S_161	0	2	1	10	0	0	23	0	1	0	0	1	1	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa
forward_16S_162	2	1	1	5	0	0	22	2	0	2	1	2	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas;Caenimonas sp. TSX9-5
forward_16S_163	1	1	29	0	1	0	1	0	1	1	1	2	0	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum
forward_16S_164	1	0	1	4	9	3	6	0	0	0	0	5	0	9	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_165	0	9	0	0	0	0	0	24	5	0	0	0	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_166	11	1	4	3	2	0	5	2	4	1	2	1	0	1	Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Corallococcus;
forward_16S_167	4	5	2	6	0	0	4	2	5	4	0	0	1	4	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;
forward_16S_168	2	11	1	3	0	0	4	6	3	4	0	0	0	3	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
forward_16S_169	1	18	1	0	0	1	1	9	4	1	0	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia sp.
forward_16S_170	0	1	0	0	0	0	34	0	0	2	0	0	0	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;
forward_16S_171	0	0	3	1	0	0	30	0	0	0	3	0	0	0	Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;NA;planctomycete LX80
forward_16S_172	0	0	0	0	0	0	37	0	0	0	0	0	0	0	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus;Actinoalloteichus sp. 10-82
forward_16S_173	3	0	0	2	1	0	29	1	0	0	0	0	0	0	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
forward_16S_174	1	3	2	2	0	0	11	8	3	0	2	0	1	3	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;
forward_16S_175	0	11	0	0	0	0	0	16	0	3	0	0	0	6	Proteobacteria;Betaproteobacteria;Burkholderiales;;;
forward_16S_176	0	2	0	0	0	0	0	1	0	9	0	0	0	23	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum
forward_16S_177	0	1	4	7	0	0	16	1	1	0	1	0	4	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;;
